"Statistic Label","Year","Geographic Location","Component","UNIT","VALUE"
"Exports of Services","2003","Egypt","Royalties/licences","Euro Million",""
"Exports of Services","2003","Egypt","All business services","Euro Million",""
"Exports of Services","2003","Egypt","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Egypt","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Egypt","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Egypt","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Egypt","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Egypt","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Egypt","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Egypt","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Egypt","Business services: Other","Euro Million",""
"Exports of Services","2003","Egypt","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Egypt","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Egypt","Repairs and processing","Euro Million",""
"Exports of Services","2003","Spain","Services total","Euro Million",""
"Exports of Services","2003","Spain","Transport","Euro Million",""
"Exports of Services","2003","Spain","Tourism and travel","Euro Million",""
"Exports of Services","2003","Spain","Communications","Euro Million",""
"Exports of Services","2003","Spain","Insurance","Euro Million",""
"Exports of Services","2003","Spain","Financial services","Euro Million",""
"Exports of Services","2003","Spain","Computer services","Euro Million",""
"Exports of Services","2003","Spain","Royalties/licences","Euro Million",""
"Exports of Services","2003","Spain","All business services","Euro Million",""
"Exports of Services","2003","Spain","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Spain","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Spain","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Spain","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Spain","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Spain","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Spain","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Spain","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Spain","Business services: Other","Euro Million",""
"Exports of Services","2003","Spain","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Spain","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Spain","Repairs and processing","Euro Million",""
"Exports of Services","2003","Finland","Services total","Euro Million",""
"Exports of Services","2003","Finland","Transport","Euro Million",""
"Exports of Services","2003","Finland","Tourism and travel","Euro Million",""
"Exports of Services","2003","Finland","Communications","Euro Million",""
"Exports of Services","2003","Finland","Insurance","Euro Million",""
"Exports of Services","2003","Finland","Financial services","Euro Million",""
"Exports of Services","2003","Finland","Computer services","Euro Million",""
"Exports of Services","2003","Finland","Royalties/licences","Euro Million",""
"Exports of Services","2003","Finland","All business services","Euro Million",""
"Exports of Services","2003","Finland","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Finland","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Finland","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Finland","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Finland","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Finland","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Finland","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Finland","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Finland","Business services: Other","Euro Million",""
"Exports of Services","2003","Finland","Business services: Trade related services","Euro Million",""
